date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:53:33	67927/67927	---M-Z	200	added ('OK')	text/html	etag:%2210957-5e6212fcfa580-gzip%22	https://bookland.w3itexpert.com/xhtml/index-2.html	C:/My%20Web%20Sites/book4/bookland.w3itexpert.com/xhtml/index-2.html	(from )
11:53:34	286/286	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Sep%202023%2005:53:33%20GMT	https://bookland.w3itexpert.com/robots.txt		(from )
11:53:34	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Sep%202023%2005:53:34%20GMT	https://makaanlelo.com/tf_products_007/bookland/xhtml/social-image.png	C:/My%20Web%20Sites/book4/makaanlelo.com/tf_products_007/bookland/xhtml/social-image.1.delayed	(from https://bookland.w3itexpert.com/xhtml/index-2.html)
11:53:35	2267/2267	---M--	200	added ('OK')	image/png	etag:%228db-5e6213ae5c800%22	https://bookland.w3itexpert.com/xhtml/images/favicon.png	C:/My%20Web%20Sites/book4/bookland.w3itexpert.com/xhtml/images/favicon.png	(from https://bookland.w3itexpert.com/xhtml/index-2.html)
11:53:36	89220/89220	---M-Z	200	added ('OK')	text/css	etag:%2215c84-5e544fdac0800-gzip%22	https://bookland.w3itexpert.com/xhtml/icons/fontawesome/css/all.min.css	C:/My%20Web%20Sites/book4/bookland.w3itexpert.com/xhtml/icons/fontawesome/css/all.min.css	(from https://bookland.w3itexpert.com/xhtml/index-2.html)
11:53:36	1033518/1033518	---MCZ	200	added ('OK')	text/css	etag:%22fc52e-5e6213aa8bf00-gzip%22	https://bookland.w3itexpert.com/xhtml/css/style.css	C:/My%20Web%20Sites/book4/bookland.w3itexpert.com/xhtml/css/style.css	(from https://bookland.w3itexpert.com/xhtml/index-2.html)
11:53:37	13916/13916	---M-Z	200	added ('OK')	text/css	etag:%22365c-5e544b606f780-gzip%22	https://bookland.w3itexpert.com/xhtml/vendor/swiper/swiper-bundle.min.css	C:/My%20Web%20Sites/book4/bookland.w3itexpert.com/xhtml/vendor/swiper/swiper-bundle.min.css	(from https://bookland.w3itexpert.com/xhtml/index-2.html)
11:53:37	57095/57095	---M-Z	200	added ('OK')	text/css	etag:%22df07-5e55a0b3e4180-gzip%22	https://bookland.w3itexpert.com/xhtml/vendor/animate/animate.css	C:/My%20Web%20Sites/book4/bookland.w3itexpert.com/xhtml/vendor/animate/animate.css	(from https://bookland.w3itexpert.com/xhtml/index-2.html)
11:53:37	10722/10722	---M-Z	200	added ('OK')	text/css	etag:%2229e2-5e544cc51c100-gzip%22	https://bookland.w3itexpert.com/xhtml/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	C:/My%20Web%20Sites/book4/bookland.w3itexpert.com/xhtml/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	(from https://bookland.w3itexpert.com/xhtml/index-2.html)
11:53:38	72076/72076	---M-Z	200	added ('OK')	text/html	etag:%221198c-5e6212fee2a00-gzip%22	https://bookland.w3itexpert.com/xhtml/index.html	C:/My%20Web%20Sites/book4/bookland.w3itexpert.com/xhtml/index.html	(from https://bookland.w3itexpert.com/xhtml/index-2.html)
11:53:38	2242/2242	---M--	200	added ('OK')	image/png	etag:%228c2-5e6213ae5c800%22	https://bookland.w3itexpert.com/xhtml/images/logo.png	C:/My%20Web%20Sites/book4/bookland.w3itexpert.com/xhtml/images/logo.png	(from https://bookland.w3itexpert.com/xhtml/index-2.html)
11:53:38	26715/26715	---M-Z	200	added ('OK')	text/html	etag:%22685b-5e62130e24e00-gzip%22	https://bookland.w3itexpert.com/xhtml/wishlist.html	C:/My%20Web%20Sites/book4/bookland.w3itexpert.com/xhtml/wishlist.html	(from https://bookland.w3itexpert.com/xhtml/index-2.html)
11:53:39	40890/40890	---M-Z	200	added ('OK')	text/html	etag:%229fba-5e6212edb8180-gzip%22	https://bookland.w3itexpert.com/xhtml/books-detail.html	C:/My%20Web%20Sites/book4/bookland.w3itexpert.com/xhtml/books-detail.html	(from https://bookland.w3itexpert.com/xhtml/index-2.html)
11:53:39	6672/6672	---M--	200	added ('OK')	image/jpeg	etag:%221a10-5e6214933e400%22	https://bookland.w3itexpert.com/xhtml/images/books/small/pic1.jpg	C:/My%20Web%20Sites/book4/bookland.w3itexpert.com/xhtml/images/books/small/pic1.jpg	(from https://bookland.w3itexpert.com/xhtml/index-2.html)
11:53:39	6052/6052	---M--	200	added ('OK')	image/jpeg	etag:%2217a4-5e6214933e400%22	https://bookland.w3itexpert.com/xhtml/images/books/small/pic2.jpg	C:/My%20Web%20Sites/book4/bookland.w3itexpert.com/xhtml/images/books/small/pic2.jpg	(from https://bookland.w3itexpert.com/xhtml/index-2.html)
11:53:40	10521/10521	---M--	200	added ('OK')	image/jpeg	etag:%222919-5e6214970ed00%22	https://bookland.w3itexpert.com/xhtml/images/books/small/pic3.jpg	C:/My%20Web%20Sites/book4/bookland.w3itexpert.com/xhtml/images/books/small/pic3.jpg	(from https://bookland.w3itexpert.com/xhtml/index-2.html)
11:53:40	28091/28091	---M-Z	200	added ('OK')	text/html	etag:%226dbb-5e6213086c080-gzip%22	https://bookland.w3itexpert.com/xhtml/shop-cart.html	C:/My%20Web%20Sites/book4/bookland.w3itexpert.com/xhtml/shop-cart.html	(from https://bookland.w3itexpert.com/xhtml/index-2.html)
11:53:41	31875/31875	---M-Z	200	added ('OK')	text/html	etag:%227c83-5e6213086c080-gzip%22	https://bookland.w3itexpert.com/xhtml/shop-checkout.html	C:/My%20Web%20Sites/book4/bookland.w3itexpert.com/xhtml/shop-checkout.html	(from https://bookland.w3itexpert.com/xhtml/index-2.html)
11:53:41	5873/5873	---M--	200	added ('OK')	image/jpeg	etag:%2216f1-5e6213b22d100%22	https://bookland.w3itexpert.com/xhtml/images/profile1.jpg	C:/My%20Web%20Sites/book4/bookland.w3itexpert.com/xhtml/images/profile1.jpg	(from https://bookland.w3itexpert.com/xhtml/index-2.html)
11:53:41	27549/27549	---M-Z	200	added ('OK')	text/html	etag:%226b9d-5e621300cae80-gzip%22	https://bookland.w3itexpert.com/xhtml/my-profile.html	C:/My%20Web%20Sites/book4/bookland.w3itexpert.com/xhtml/my-profile.html	(from https://bookland.w3itexpert.com/xhtml/index-2.html)
11:53:42	24438/24438	---M-Z	200	added ('OK')	text/html	etag:%225f76-5e62130a54500-gzip%22	https://bookland.w3itexpert.com/xhtml/shop-login.html	C:/My%20Web%20Sites/book4/bookland.w3itexpert.com/xhtml/shop-login.html	(from https://bookland.w3itexpert.com/xhtml/index-2.html)
11:53:42	29563/29563	---M-Z	200	added ('OK')	text/html	etag:%22737b-5e6212f741800-gzip%22	https://bookland.w3itexpert.com/xhtml/contact-us.html	C:/My%20Web%20Sites/book4/bookland.w3itexpert.com/xhtml/contact-us.html	(from https://bookland.w3itexpert.com/xhtml/index-2.html)
11:53:42	37038/37038	---M-Z	200	added ('OK')	text/html	etag:%2290ae-5e6212e42eb00-gzip%22	https://bookland.w3itexpert.com/xhtml/about-us.html	C:/My%20Web%20Sites/book4/bookland.w3itexpert.com/xhtml/about-us.html	(from https://bookland.w3itexpert.com/xhtml/index-2.html)
11:53:43	29962/29962	---M-Z	200	added ('OK')	text/html	etag:%22750a-5e6213049b780-gzip%22	https://bookland.w3itexpert.com/xhtml/services.html	C:/My%20Web%20Sites/book4/bookland.w3itexpert.com/xhtml/services.html	(from https://bookland.w3itexpert.com/xhtml/index-2.html)
11:53:43	30235/30235	---M-Z	200	added ('OK')	text/html	etag:%22761b-5e6212f741800-gzip%22	https://bookland.w3itexpert.com/xhtml/faq.html	C:/My%20Web%20Sites/book4/bookland.w3itexpert.com/xhtml/faq.html	(from https://bookland.w3itexpert.com/xhtml/index-2.html)
11:53:43	26159/26159	---M-Z	200	added ('OK')	text/html	etag:%22662f-5e6212fb12100-gzip%22	https://bookland.w3itexpert.com/xhtml/help-desk.html	C:/My%20Web%20Sites/book4/bookland.w3itexpert.com/xhtml/help-desk.html	(from https://bookland.w3itexpert.com/xhtml/index-2.html)
11:53:44	6596/6596	---M-Z	200	added ('OK')	text/html	etag:%2219c4-5e6212f741800-gzip%22	https://bookland.w3itexpert.com/xhtml/coming-soon.html	C:/My%20Web%20Sites/book4/bookland.w3itexpert.com/xhtml/coming-soon.html	(from https://bookland.w3itexpert.com/xhtml/index-2.html)
11:53:44	26200/26200	---M-Z	200	added ('OK')	text/html	etag:%226658-5e621300cae80-gzip%22	https://bookland.w3itexpert.com/xhtml/pricing.html	C:/My%20Web%20Sites/book4/bookland.w3itexpert.com/xhtml/pricing.html	(from https://bookland.w3itexpert.com/xhtml/index-2.html)
11:53:44	25560/25560	---M-Z	200	added ('OK')	text/html	etag:%2263d8-5e6213049b780-gzip%22	https://bookland.w3itexpert.com/xhtml/privacy-policy.html	C:/My%20Web%20Sites/book4/bookland.w3itexpert.com/xhtml/privacy-policy.html	(from https://bookland.w3itexpert.com/xhtml/index-2.html)
11:53:45	3034/3034	---M-Z	200	added ('OK')	text/html	etag:%22bda-5e62130a54500-gzip%22	https://bookland.w3itexpert.com/xhtml/under-construction.html	C:/My%20Web%20Sites/book4/bookland.w3itexpert.com/xhtml/under-construction.html	(from https://bookland.w3itexpert.com/xhtml/index-2.html)
11:53:45	2701/2701	---M-Z	200	added ('OK')	text/html	etag:%22a8d-5e6212fb12100-gzip%22	https://bookland.w3itexpert.com/xhtml/error-404.html	C:/My%20Web%20Sites/book4/bookland.w3itexpert.com/xhtml/error-404.html	(from https://bookland.w3itexpert.com/xhtml/index-2.html)
11:53:46	60676/60676	---M-Z	200	added ('OK')	text/html	etag:%22ed04-5e6212f188a80-gzip%22	https://bookland.w3itexpert.com/xhtml/books-grid-view.html	C:/My%20Web%20Sites/book4/bookland.w3itexpert.com/xhtml/books-grid-view.html	(from https://bookland.w3itexpert.com/xhtml/index-2.html)
11:53:47	77834/77834	---M-Z	200	added ('OK')	text/html	etag:%221300a-5e6212efa0600-gzip%22	https://bookland.w3itexpert.com/xhtml/books-grid-view-sidebar.html	C:/My%20Web%20Sites/book4/bookland.w3itexpert.com/xhtml/books-grid-view-sidebar.html	(from https://bookland.w3itexpert.com/xhtml/index-2.html)
11:53:47	54828/54828	---M-Z	200	added ('OK')	text/html	etag:%22d62c-5e6212f370f00-gzip%22	https://bookland.w3itexpert.com/xhtml/books-list.html	C:/My%20Web%20Sites/book4/bookland.w3itexpert.com/xhtml/books-list.html	(from https://bookland.w3itexpert.com/xhtml/index-2.html)
11:53:47	76602/76602	---M-Z	200	added ('OK')	text/html	etag:%2212b3a-5e6212f188a80-gzip%22	https://bookland.w3itexpert.com/xhtml/books-list-view-sidebar.html	C:/My%20Web%20Sites/book4/bookland.w3itexpert.com/xhtml/books-list-view-sidebar.html	(from https://bookland.w3itexpert.com/xhtml/index-2.html)
11:53:48	23564/23564	---M-Z	200	added ('OK')	text/html	etag:%225c0c-5e62130a54500-gzip%22	https://bookland.w3itexpert.com/xhtml/shop-registration.html	C:/My%20Web%20Sites/book4/bookland.w3itexpert.com/xhtml/shop-registration.html	(from https://bookland.w3itexpert.com/xhtml/index-2.html)
11:53:48	27256/27256	---M-Z	200	added ('OK')	text/html	etag:%226a78-5e6212e42eb00-gzip%22	https://bookland.w3itexpert.com/xhtml/blog-grid.html	C:/My%20Web%20Sites/book4/bookland.w3itexpert.com/xhtml/blog-grid.html	(from https://bookland.w3itexpert.com/xhtml/index-2.html)
11:53:49	31598/31598	---M-Z	200	added ('OK')	text/html	etag:%227b6e-5e6212e7ff400-gzip%22	https://bookland.w3itexpert.com/xhtml/blog-large-sidebar.html	C:/My%20Web%20Sites/book4/bookland.w3itexpert.com/xhtml/blog-large-sidebar.html	(from https://bookland.w3itexpert.com/xhtml/index-2.html)
